"filename", "language", "HTML", "comment", "blank", "total"
"/Users/darrellparkhouse/projects/ui-kits/ui-kit-untitled/client/tables.html", "HTML", 8, 0, 0, 8
"Total", "-", 8, 0, 0, 8
