Date : 2023-12-29 23:14:37
Directory : /Users/darrellparkhouse/projects/ui-kits/ui-kit-untitled
Total : 92 files,  0 codes, 0 comments, 0 blanks, all 0 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/mixins/_color-schemas.scss     | SCSS       |         -5 |          0 |          0 |         -5 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/mixins/_container.scss         | SCSS       |         -9 |          0 |          0 |         -9 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/mixins/_deprecate.scss         | SCSS       |         -5 |          0 |          0 |         -5 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/mixins/_forms.scss             | SCSS       |        -90 |         -2 |        -15 |       -107 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/mixins/_grid.scss              | SCSS       |       -107 |          0 |        -18 |       -125 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/mixins/_image.scss             | SCSS       |         -4 |          0 |          0 |         -4 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/mixins/_list.scss              | SCSS       |         -4 |          0 |          0 |         -4 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/mixins/_pagination.scss        | SCSS       |         -6 |          0 |         -1 |         -7 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/mixins/_reset-text.scss        | SCSS       |        -16 |          0 |          0 |        -16 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/mixins/_resize.scss            | SCSS       |         -4 |          0 |          0 |         -4 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/mixins/_table-variants.scss    | SCSS       |         -2 |          0 |         -1 |         -3 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/mixins/_utility.scss           | SCSS       |        -83 |          0 |        -20 |       -103 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/partials/_base.scss            | SCSS       |        -12 |          0 |         -1 |        -13 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/partials/_buttons.scss         | SCSS       |        -51 |         -2 |        -11 |        -64 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/partials/_custom-checkbox.scss | SCSS       |        -10 |          0 |         -1 |        -11 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/partials/_footer.scss          | SCSS       |          0 |          0 |         -1 |         -1 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/partials/_grid.scss            | SCSS       |        -25 |          0 |         -5 |        -30 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/partials/_header.scss          | SCSS       |         -4 |          0 |         -1 |         -5 |
| /Users/darrellparkhouse/projects/ui kits/ui-kit-untitled/client/scss/partials/_mixins.scss          | SCSS       |          0 |          0 |         -1 |         -1 |
